2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JTokeniser Power-on self test complete.
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale en).
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.Preprocess Starting power-on self test.
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.Preprocess Power-on self test complete.
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:32,183 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.Prosody Starting power-on self test.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.Prosody Power-on self test complete.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.PronunciationModel Starting power-on self test.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.PronunciationModel Power-on self test complete.
2017-01-21 03:38:32,199 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2017-01-21 03:38:33,056 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,056 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,056 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale fr).
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale fr).
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.Preprocess Starting power-on self test.
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.Preprocess Power-on self test complete.
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale fr).
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,072 [Thread-9] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale it).
2017-01-21 03:38:33,087 [Thread-9] INFO  marytts.JTokeniser Starting power-on self test.
2017-01-21 03:38:33,087 [Thread-9] INFO  marytts.JTokeniser Power-on self test complete.
2017-01-21 03:38:33,087 [Thread-9] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale it).
2017-01-21 03:38:33,087 [Thread-9] INFO  marytts.Preprocess Starting power-on self test.
2017-01-21 03:38:33,087 [Thread-9] INFO  marytts.Preprocess Expanding say-as elements...
2017-01-21 03:38:33,087 [Thread-9] INFO  marytts.Preprocess Matching and expanding patterns...
2017-01-21 03:38:33,103 [Thread-9] INFO  marytts.Preprocess Done.
2017-01-21 03:38:33,103 [Thread-9] INFO  marytts.Preprocess Power-on self test complete.
2017-01-21 03:38:33,103 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale it).
2017-01-21 03:38:33,103 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,103 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,103 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale it).
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale it).
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.Prosody Starting power-on self test.
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.Prosody Power-on self test complete.
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale it).
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.PronunciationModel Starting power-on self test.
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.PronunciationModel Power-on self test complete.
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.LuxembourgishPreprocess Module started (TOKENS->WORDS, locale lb).
2017-01-21 03:38:33,213 [Thread-9] INFO  marytts.LuxembourgishPreprocess Starting power-on self test.
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.LuxembourgishPreprocess Power-on self test complete.
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.language.lb.EvenMoreMinimalisticPosTagger Module started (WORDS -> PARTSOFSPEECH, locale lb).
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale lb).
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,736 [Thread-9] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale ru).
2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.JTokeniser Starting power-on self test.
